participant_id,loading_sequence
-Ok8nSOswuKL4UWggTV9,"Milk,Canned Tomato Souce,Butter,Glass Beer Bottle,Energy Drink Can,Peper Mill,Ketchup,Cookies,Biscuits in Plastic Wrap,Yoghurt Cup,Eggs,Apple,Orange,Bananas,Avacado"
-Ok8nZguJXNSGra5Er4F,"Glass Beer Bottle,Milk,Energy Drink Can,Canned Tomato Souce,Ketchup,Peper Mill,Butter,Orange,Avacado,Apple,Bananas,Cookies,Biscuits in Plastic Wrap,Eggs,Yoghurt Cup"
-Ok8nZhAnpABAikGwU3o,"Canned Tomato Souce,Milk,Ketchup,Cookies,Glass Beer Bottle,Energy Drink Can,Biscuits in Plastic Wrap,Peper Mill,Eggs,Butter,Apple,Yoghurt Cup,Orange,Bananas,Avacado"
-Ok8nT7ZcMYcU2NkFdyZ,"Glass Beer Bottle,Energy Drink Can,Canned Tomato Souce,Milk,Peper Mill,Ketchup,Bananas,Butter,Cookies,Biscuits in Plastic Wrap,Apple,Orange,Avacado,Eggs,Yoghurt Cup"
-Ok8nXZp2BXz2KIwXPp0,"Ketchup,Canned Tomato Souce,Peper Mill,Cookies,Energy Drink Can,Milk,Glass Beer Bottle,Butter,Biscuits in Plastic Wrap,Eggs,Apple,Orange,Avacado,Bananas,Yoghurt Cup"
-Ok8oIv_qcNHRuAAe6Pe,"Canned Tomato Souce,Glass Beer Bottle,Peper Mill,Milk,Ketchup,Energy Drink Can,Cookies,Butter,Eggs,Biscuits in Plastic Wrap,Bananas,Apple,Orange,Avacado,Yoghurt Cup"
-Ok8nb_K0JvrAdGKBkrS,"Canned Tomato Souce,Peper Mill,Glass Beer Bottle,Energy Drink Can,Cookies,Milk,Biscuits in Plastic Wrap,Butter,Ketchup,Apple,Orange,Avacado,Yoghurt Cup,Eggs,Bananas"
-Ok8ni3kEUmS3MPWtErI,"Glass Beer Bottle,Canned Tomato Souce,Ketchup,Milk,Energy Drink Can,Peper Mill,Cookies,Butter,Biscuits in Plastic Wrap,Apple,Bananas,Orange,Eggs,Avacado,Yoghurt Cup"
-Ok8ntmVsYwyYAcdyixR,"Canned Tomato Souce,Milk,Ketchup,Glass Beer Bottle,Peper Mill,Energy Drink Can,Cookies,Butter,Biscuits in Plastic Wrap,Yoghurt Cup,Apple,Orange,Avacado,Bananas,Eggs"
-Ok8nqrFREzJChaX2kR5,"Ketchup,Canned Tomato Souce,Glass Beer Bottle,Energy Drink Can,Peper Mill,Butter,Milk,Apple,Bananas,Orange,Avacado,Cookies,Eggs,Biscuits in Plastic Wrap,Yoghurt Cup"
-Ok8pwx74FsBL2oqOsEI,"Glass Beer Bottle,Energy Drink Can,Peper Mill,Canned Tomato Souce,Ketchup,Milk,Cookies,Bananas,Apple,Butter,Orange,Avacado,Eggs,Biscuits in Plastic Wrap,Yoghurt Cup"
-Ok8o7rijbQ1oz6NWDdg,"Canned Tomato Souce,Ketchup,Biscuits in Plastic Wrap,Cookies,Peper Mill,Energy Drink Can,Avacado,Apple,Glass Beer Bottle,Milk,Yoghurt Cup,Orange,Butter,Bananas,Eggs"
-Ok8oXBAsQsJ7DyHKHR0,"Milk,Ketchup,Canned Tomato Souce,Glass Beer Bottle,Cookies,Biscuits in Plastic Wrap,Butter,Peper Mill,Energy Drink Can,Bananas,Apple,Orange,Avacado,Eggs,Yoghurt Cup"
-Ok8oL89LugBcg1fxzyG,"Glass Beer Bottle,Energy Drink Can,Ketchup,Milk,Canned Tomato Souce,Peper Mill,Cookies,Bananas,Biscuits in Plastic Wrap,Butter,Eggs,Apple,Orange,Avacado,Yoghurt Cup"
-Ok8oKBnI5e3EubnePZL,"Glass Beer Bottle,Peper Mill,Energy Drink Can,Canned Tomato Souce,Butter,Cookies,Biscuits in Plastic Wrap,Bananas,Avacado,Ketchup,Milk,Orange,Apple,Yoghurt Cup,Eggs"
-Ok8oSwupiylOY3Zr1_9,"Milk,Glass Beer Bottle,Peper Mill,Canned Tomato Souce,Ketchup,Cookies,Butter,Energy Drink Can,Biscuits in Plastic Wrap,Bananas,Orange,Apple,Yoghurt Cup,Avacado,Eggs"
-Ok8oZxSCMTJ8wHIEqcT,"Glass Beer Bottle,Energy Drink Can,Peper Mill,Milk,Canned Tomato Souce,Ketchup,Cookies,Butter,Eggs,Biscuits in Plastic Wrap,Apple,Orange,Avacado,Bananas,Yoghurt Cup"
-Ok8okRjm_33sW_-ErZD,"Glass Beer Bottle,Energy Drink Can,Canned Tomato Souce,Ketchup,Peper Mill,Milk,Butter,Orange,Cookies,Avacado,Apple,Biscuits in Plastic Wrap,Yoghurt Cup,Bananas,Eggs"
-Ok8on4vIy7kueIoNuL0,"Canned Tomato Souce,Peper Mill,Cookies,Glass Beer Bottle,Ketchup,Milk,Butter,Apple,Orange,Yoghurt Cup,Eggs,Energy Drink Can,Avacado,Bananas,Biscuits in Plastic Wrap"
-Ok8onyymjoBFNxaKgh2,"Canned Tomato Souce,Ketchup,Peper Mill,Glass Beer Bottle,Energy Drink Can,Milk,Butter,Eggs,Biscuits in Plastic Wrap,Cookies,Bananas,Apple,Orange,Avacado,Yoghurt Cup"
-Ok8osu-QNvzRcDpgu91,"Glass Beer Bottle,Energy Drink Can,Canned Tomato Souce,Milk,Ketchup,Apple,Peper Mill,Butter,Cookies,Orange,Eggs,Avacado,Bananas,Biscuits in Plastic Wrap,Yoghurt Cup"
-Ok8pVLs0kgWfp6IXKeY,"Milk,Canned Tomato Souce,Glass Beer Bottle,Energy Drink Can,Butter,Ketchup,Peper Mill,Yoghurt Cup,Cookies,Biscuits in Plastic Wrap,Eggs,Apple,Orange,Avacado,Bananas"
-Ok8ppYy3NNUrzTaxm_q,"Milk,Canned Tomato Souce,Cookies,Glass Beer Bottle,Energy Drink Can,Ketchup,Bananas,Peper Mill,Avacado,Apple,Butter,Orange,Eggs,Biscuits in Plastic Wrap,Yoghurt Cup"
-Ok8r0Uez6AYb9mz9VxB,"Glass Beer Bottle,Energy Drink Can,Canned Tomato Souce,Peper Mill,Milk,Ketchup,Cookies,Yoghurt Cup,Butter,Eggs,Biscuits in Plastic Wrap,Bananas,Avacado,Orange,Apple"
-Ok8rGdQsq1v9wVB-ziZ,"Glass Beer Bottle,Canned Tomato Souce,Ketchup,Milk,Energy Drink Can,Peper Mill,Butter,Apple,Cookies,Biscuits in Plastic Wrap,Eggs,Orange,Avacado,Bananas,Yoghurt Cup"
